Namespace(lr=0.01, optim='sgd', num_workers=4, data_path='/scratch/yl7897/dataset', cpu_only=False, batch_size=128)
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
[INFO]: Device: cuda
==> Building model..
Train Loss: 1.785 | Acc: 36.050% (18025/50000)
Validate Loss: 1.414 | Acc: 47.670% (4767/10000)
Train Loss: 1.235 | Acc: 55.524% (27762/50000)
Validate Loss: 1.382 | Acc: 54.580% (5458/10000)
Train Loss: 0.943 | Acc: 66.424% (33212/50000)
Validate Loss: 0.983 | Acc: 66.750% (6675/10000)
Train Loss: 0.748 | Acc: 73.750% (36875/50000)
Validate Loss: 0.690 | Acc: 76.180% (7618/10000)
Train Loss: 0.626 | Acc: 78.180% (39090/50000)
Validate Loss: 0.653 | Acc: 77.130% (7713/10000)
Train Loss: 0.543 | Acc: 81.264% (40632/50000)
Validate Loss: 0.594 | Acc: 79.910% (7991/10000)
Train Loss: 0.481 | Acc: 83.470% (41735/50000)
Validate Loss: 0.624 | Acc: 80.350% (8035/10000)
Train Loss: 0.437 | Acc: 84.964% (42482/50000)
Validate Loss: 0.565 | Acc: 80.910% (8091/10000)
Train Loss: 0.398 | Acc: 86.218% (43109/50000)
Validate Loss: 0.496 | Acc: 82.810% (8281/10000)
Train Loss: 0.366 | Acc: 87.364% (43682/50000)
Validate Loss: 0.452 | Acc: 84.440% (8444/10000)
Train Loss: 0.337 | Acc: 88.290% (44145/50000)
Validate Loss: 0.491 | Acc: 83.450% (8345/10000)
Train Loss: 0.315 | Acc: 89.264% (44632/50000)
Validate Loss: 0.472 | Acc: 84.560% (8456/10000)
Train Loss: 0.298 | Acc: 89.596% (44798/50000)
Validate Loss: 0.524 | Acc: 82.580% (8258/10000)
Train Loss: 0.281 | Acc: 90.192% (45096/50000)
Validate Loss: 0.485 | Acc: 84.310% (8431/10000)
Train Loss: 0.260 | Acc: 90.904% (45452/50000)
Validate Loss: 0.440 | Acc: 85.770% (8577/10000)
Train Loss: 0.248 | Acc: 91.446% (45723/50000)
Validate Loss: 0.470 | Acc: 85.060% (8506/10000)
Train Loss: 0.231 | Acc: 92.030% (46015/50000)
Validate Loss: 0.421 | Acc: 86.710% (8671/10000)
Train Loss: 0.218 | Acc: 92.302% (46151/50000)
Validate Loss: 0.372 | Acc: 87.970% (8797/10000)
Train Loss: 0.209 | Acc: 92.772% (46386/50000)
Validate Loss: 0.398 | Acc: 87.330% (8733/10000)
Train Loss: 0.195 | Acc: 93.184% (46592/50000)
Validate Loss: 0.388 | Acc: 87.640% (8764/10000)
Train Loss: 0.190 | Acc: 93.390% (46695/50000)
Validate Loss: 0.370 | Acc: 88.460% (8846/10000)
Train Loss: 0.181 | Acc: 93.722% (46861/50000)
Validate Loss: 0.364 | Acc: 88.690% (8869/10000)
Train Loss: 0.180 | Acc: 93.796% (46898/50000)
Validate Loss: 0.390 | Acc: 88.130% (8813/10000)
Train Loss: 0.169 | Acc: 94.096% (47048/50000)
Validate Loss: 0.341 | Acc: 89.080% (8908/10000)
Train Loss: 0.162 | Acc: 94.284% (47142/50000)
Validate Loss: 0.363 | Acc: 88.720% (8872/10000)
Train Loss: 0.155 | Acc: 94.582% (47291/50000)
Validate Loss: 0.334 | Acc: 89.140% (8914/10000)
Train Loss: 0.152 | Acc: 94.748% (47374/50000)
Validate Loss: 0.366 | Acc: 88.600% (8860/10000)
Train Loss: 0.145 | Acc: 94.884% (47442/50000)
Validate Loss: 0.420 | Acc: 87.760% (8776/10000)
Train Loss: 0.143 | Acc: 94.934% (47467/50000)
Validate Loss: 0.340 | Acc: 89.510% (8951/10000)
Train Loss: 0.136 | Acc: 95.306% (47653/50000)
Validate Loss: 0.346 | Acc: 89.250% (8925/10000)
Train Loss: 0.131 | Acc: 95.370% (47685/50000)
Validate Loss: 0.384 | Acc: 88.890% (8889/10000)
Train Loss: 0.130 | Acc: 95.432% (47716/50000)
Validate Loss: 0.348 | Acc: 89.290% (8929/10000)
Train Loss: 0.122 | Acc: 95.654% (47827/50000)
Validate Loss: 0.366 | Acc: 89.050% (8905/10000)
Train Loss: 0.120 | Acc: 95.826% (47913/50000)
Validate Loss: 0.307 | Acc: 90.640% (9064/10000)
Train Loss: 0.117 | Acc: 95.908% (47954/50000)
Validate Loss: 0.336 | Acc: 89.590% (8959/10000)
Train Loss: 0.115 | Acc: 95.888% (47944/50000)
